..\datos\GKD-b_10_n25_m7.txt;41.58;12;
..\datos\GKD-b_11_n50_m5.txt;8.41644;47;
..\datos\GKD-b_12_n50_m5.txt;13.0283;36;
..\datos\GKD-b_13_n50_m5.txt;10.7556;39;
..\datos\GKD-b_14_n50_m5.txt;15.8076;31;
..\datos\GKD-b_15_n50_m5.txt;7.72174;32;
..\datos\GKD-b_16_n50_m15.txt;69.8455;60;
..\datos\GKD-b_17_n50_m15.txt;75.6458;76;
..\datos\GKD-b_18_n50_m15.txt;99.0735;97;
..\datos\GKD-b_19_n50_m15.txt;106.234;68;
..\datos\GKD-b_1_n25_m2.txt;0;0;
..\datos\GKD-b_20_n50_m15.txt;109.38;69;
..\datos\GKD-b_21_n100_m10.txt;28.6834;444;
..\datos\GKD-b_22_n100_m10.txt;19.2227;255;
..\datos\GKD-b_23_n100_m10.txt;34.0771;263;
..\datos\GKD-b_24_n100_m10.txt;24.6465;160;
..\datos\GKD-b_25_n100_m10.txt;48.965;165;
..\datos\GKD-b_26_n100_m30.txt;316.583;480;
..\datos\GKD-b_27_n100_m30.txt;243.695;474;
..\datos\GKD-b_28_n100_m30.txt;528.143;473;
..\datos\GKD-b_29_n100_m30.txt;430.48;387;
..\datos\GKD-b_2_n25_m2.txt;0;0;
..\datos\GKD-b_30_n100_m30.txt;290.666;315;
..\datos\GKD-b_31_n125_m12.txt;47.1648;366;
..\datos\GKD-b_32_n125_m12.txt;32.5372;193;
..\datos\GKD-b_33_n125_m12.txt;54.9799;195;
..\datos\GKD-b_34_n125_m12.txt;41.1028;199;
..\datos\GKD-b_35_n125_m12.txt;38.8301;281;
..\datos\GKD-b_36_n125_m37.txt;554.159;607;
..\datos\GKD-b_37_n125_m37.txt;444.911;614;
..\datos\GKD-b_38_n125_m37.txt;515.459;900;
..\datos\GKD-b_39_n125_m37.txt;428.246;499;
..\datos\GKD-b_3_n25_m2.txt;0;0;
..\datos\GKD-b_40_n125_m37.txt;298.124;808;
..\datos\GKD-b_41_n150_m15.txt;48.8088;530;
..\datos\GKD-b_42_n150_m15.txt;47.0662;385;
..\datos\GKD-b_43_n150_m15.txt;51.7457;954;
..\datos\GKD-b_44_n150_m15.txt;101.253;295;
..\datos\GKD-b_45_n150_m15.txt;47.5284;533;
..\datos\GKD-b_46_n150_m45.txt;625.986;924;
..\datos\GKD-b_47_n150_m45.txt;453.183;1196;
..\datos\GKD-b_48_n150_m45.txt;787.146;446;
..\datos\GKD-b_49_n150_m45.txt;664.55;1046;
..\datos\GKD-b_4_n25_m2.txt;0;0;
..\datos\GKD-b_50_n150_m45.txt;724.964;882;
..\datos\GKD-b_5_n25_m2.txt;0;0;
..\datos\GKD-b_6_n25_m7.txt;30.0073;12;
..\datos\GKD-b_7_n25_m7.txt;20.1299;10;
..\datos\GKD-b_8_n25_m7.txt;32.0345;10;
..\datos\GKD-b_9_n25_m7.txt;44.2962;10;
